USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 172404  9204 ?        Ss   ago24   0:21 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    ago24   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   ago24   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   ago24   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   ago24   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   ago24   0:00 [netns]
root           8  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/0:0H-events_highpri]
root          10  0.0  0.0      0     0 ?        I<   ago24   0:00 [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        S    ago24   0:00 [rcu_tasks_rude_]
root          12  0.0  0.0      0     0 ?        S    ago24   0:00 [rcu_tasks_trace]
root          13  0.0  0.0      0     0 ?        S    ago24   0:15 [ksoftirqd/0]
root          14  0.1  0.0      0     0 ?        I    ago24  10:54 [rcu_sched]
root          15  0.0  0.0      0     0 ?        S    ago24   0:57 [migration/0]
root          16  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/0]
root          18  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/0]
root          19  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/1]
root          20  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/1]
root          21  0.0  0.0      0     0 ?        S    ago24   1:14 [migration/1]
root          22  0.0  0.0      0     0 ?        S    ago24   0:26 [ksoftirqd/1]
root          24  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/1:0H-events_highpri]
root          25  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/2]
root          26  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/2]
root          27  0.0  0.0      0     0 ?        S    ago24   0:02 [migration/2]
root          28  0.0  0.0      0     0 ?        S    ago24   0:30 [ksoftirqd/2]
root          30  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/2:0H-events_highpri]
root          31  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/3]
root          32  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/3]
root          33  0.0  0.0      0     0 ?        S    ago24   0:02 [migration/3]
root          34  0.0  0.0      0     0 ?        S    ago24   0:09 [ksoftirqd/3]
root          36  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/3:0H-events_highpri]
root          37  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/4]
root          38  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/4]
root          39  0.0  0.0      0     0 ?        S    ago24   2:08 [migration/4]
root          40  0.0  0.0      0     0 ?        S    ago24   1:58 [ksoftirqd/4]
root          42  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/4:0H-events_highpri]
root          43  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/5]
root          44  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/5]
root          45  0.0  0.0      0     0 ?        S    ago24   2:07 [migration/5]
root          46  0.0  0.0      0     0 ?        S    ago24   0:04 [ksoftirqd/5]
root          48  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/5:0H-events_highpri]
root          49  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/6]
root          50  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/6]
root          51  0.0  0.0      0     0 ?        S    ago24   1:55 [migration/6]
root          52  0.0  0.0      0     0 ?        S    ago24   0:07 [ksoftirqd/6]
root          54  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/6:0H-events_highpri]
root          55  0.0  0.0      0     0 ?        S    ago24   0:00 [cpuhp/7]
root          56  0.0  0.0      0     0 ?        S    ago24   0:00 [idle_inject/7]
root          57  0.0  0.0      0     0 ?        S    ago24   1:45 [migration/7]
root          58  0.0  0.0      0     0 ?        S    ago24   1:04 [ksoftirqd/7]
root          60  0.0  0.0      0     0 ?        I<   ago24   0:00 [kworker/7:0H-events_highpri]
root          61  0.0  0.0      0     0 ?        S    ago24   0:00 [kdevtmpfs]
root          62  0.0  0.0      0     0 ?        I<   ago24   0:00 [inet_frag_wq]
root          63  0.0  0.0      0     0 ?        S    ago24   0:00 [kauditd]
root          64  0.0  0.0      0     0 ?        S    ago24   0:01 [khungtaskd]
root          65  0.0  0.0      0     0 ?        S    ago24   0:00 [oom_reaper]
root          66  0.0  0.0      0     0 ?        I<   ago24   0:00 [writeback]
root          67  0.0  0.0      0     0 ?        S    ago24   3:08 [kcompactd0]
root          68  0.0  0.0      0     0 ?        SN   ago24   0:00 [ksmd]
root          69  0.0  0.0      0     0 ?        SN   ago24   0:05 [khugepaged]
root         116  0.0  0.0      0     0 ?        I<   ago24   0:00 [kintegrityd]
root         117  0.0  0.0      0     0 ?        I<   ago24   0:00 [kblockd]
root         118  0.0  0.0      0     0 ?        I<   ago24   0:00 [blkcg_punt_bio]
root         126  0.0  0.0      0     0 ?        I<   ago24   0:00 [tpm_dev_wq]
root         127  0.0  0.0      0     0 ?        I<   ago24   0:00 [ata_sff]
root         128  0.0  0.0      0     0 ?        I<   ago24   0:00 [md]
root         129  0.0  0.0      0     0 ?        I<   ago24   0:00 [edac-poller]
root         130  0.0  0.0      0     0 ?        I<   ago24   0:00 [devfreq_wq]
root         132  0.0  0.0      0     0 ?        S    ago24   0:00 [watchdogd]
root         133  0.0  0.0      0     0 ?        I<   ago24   0:28 [kworker/0:1H-kblockd]
root         135  0.0  0.0      0     0 ?        S    ago24   0:43 [kswapd0]
root         136  0.0  0.0      0     0 ?        S    ago24   0:00 [ecryptfs-kthrea]
root         138  0.0  0.0      0     0 ?        I<   ago24   0:00 [kthrotld]
root         139  0.0  0.0      0     0 ?        S    ago24   0:00 [irq/124-pciehp]
root         140  0.0  0.0      0     0 ?        I<   ago24   0:00 [acpi_thermal_pm]
root         143  0.0  0.0      0     0 ?        I<   ago24   0:00 [vfio-irqfd-clea]
root         146  0.0  0.0      0     0 ?        I<   ago24   0:00 [mld]
root         147  0.0  0.0      0     0 ?        I<   ago24   0:00 [ipv6_addrconf]
root         157  0.0  0.0      0     0 ?        I<   ago24   0:00 [kstrp]
root         160  0.0  0.0      0     0 ?        I<   ago24   0:00 [zswap-shrink]
root         168  0.0  0.0      0     0 ?        I<   ago24   0:00 [charger_manager]
root         190  0.0  0.0      0     0 ?        I<   ago24   0:30 [kworker/2:1H-kblockd]
root         227  0.0  0.0      0     0 ?        I<   ago24   0:00 [cryptd]
root         248  0.0  0.0      0     0 ?        I<   ago24   0:41 [kworker/5:1H-events_highpri]
root         249  0.0  0.0      0     0 ?        I<   ago24   0:00 [nvme-wq]
root         250  0.0  0.0      0     0 ?        I<   ago24   0:00 [nvme-reset-wq]
